species;RothmalerOnset;early_late;FunGroup
Achillea millefolium;6;late;herb
Agrostis capillaris;6;late;graminoid
Agrostis gigantea;6;late;graminoid
Agrostis stolonifera;6;late;graminoid
Ajuga reptans;5;early;herb
Alchemilla monticula;6;late;herb
Alchemilla vulgaris;5;early;herb
Alopecurus pratensis;5;early;graminoid
Anthoxanthum odoratum;5;early;graminoid
Arabidopsis thaliana;4;early;herb
Arrhenatherum elatius;6;late;graminoid
Bellis perennis;1;early;herb
Bistorta officianilis;5;early;herb
Briza media;5;early;graminoid
Cardamine amara;4;early;herb
Cardamine hirsuta;3;early;herb
Carex humilis;4;early;herb
Carex montana;3;early;herb
Carex spicata cf;5;early;herb
Carex sylvatica;6;late;herb
Carum carvi;5;early;herb
Capsella bursa-pastoris;1;early;herb
Centaurea jacea;6;late;herb
Cerastium holosteoides;4;early;herb
Chaerophyllum temulum;5;early;herb
Crepis aurea;6;late;herb
Crepis biennis;5;early;herb
Crocus albiflorus;2;early;herb
Cynosurus cristatus;6;late;graminoid
Dactylis glomerata;5;early;graminoid
Daucus carota;6;late;herb
Deschampsia flexuosa;6;late;graminoid
Draba verna;3;early;herb
Elymus caninus;6;late;graminoid
Elymus repens;6;late;graminoid
Equisetum arvense;3;early;herb
Euphrasia stricta;5;early;herb
Festuca pratensis;6;late;graminoid
Festuca rubra;5;early;graminoid
Filipendula ulmaria;6;late;herb
Galium album;5;early;herb
Geranium rotundifolium;6;late;herb
Geum rivale;4;early;herb
Geum urbanum;5;early;herb
Glechoma hederacea;4;early;herb
Helictotrichon pubescens;5;early;graminoid
Heracleum sphondylium;6;late;herb
Hieracium aurantiacum;6;late;herb
Hieracium Macranthum;7;late;herb
Hieracium pilosella ;5;early;herb
Holcus lanatus;6;late;graminoid
Hypochaeris radicata;6;late;herb
Knautia arvensis;7;late;herb
Lamium purpureum;3;early;herb
Lathyrus pratensis;6;late;herb
Leontodon autumnalis;7;late;herb
Leontodon helveticus;7;late;herb
Leontodon hispidus;6;late;herb
Leucanthemum ircutianum;6;late;herb
Lolium multiflorum;6;late;graminoid
Lolium perenne;5;early;graminoid
Lotus corniculatus;6;late;legume
Luzula campestris;3;early;graminoid
Lychnis flos-cuculi;5;early;herb
Myosotis alpestris;7;late;herb
Nigella damascena;7;late;herb
Peucedanum oreoselinum;7;late;herb
Phleum pratense;6;late;graminoid
Phleum pratensis;6;late;graminoid
Pilosella aurantiaca;6;late;herb
Pilosella piloselloides;5;early;herb
Pimpinella major;6;late;herb
Pimpinella saxifraga;7;late;herb
Plantago lanceolata;5;early;herb
Poa angustifolia;5;early;graminoid
Poa pratense;5;early;graminoid
Poa pratensis;5;early;graminoid
Poa trivalis ;6;late;graminoid
Poa trivialis;6;late;graminoid
Primula elatior;3;early;herb
Primula veris;4;early;herb
Prunella vulgaris;6;late;herb
Ranunculus aconitifolius;5;early;herb
Ranunculus acris;5;early;herb
Ranunculus bulbosus;4;early;herb
Ranunculus ficaria;3;early;herb
Ranunculus montanus;4;early;herb
Ranunculus repens;5;early;herb
Rhinanthus minor;5;early;herb
Rhinanthus serotinus;5;early;herb
Rumex acetosa;5;early;herb
Rumex sanguineus;6;late;herb
Senecio vulgare;2;early;herb
Silene alba;6;late;herb
Silene flos-cuculi;5;early;herb
Silene vulgaris;6;late;herb
Stellaria media;1;early;herb
Taraxacum officinale;4;early;herb
Taraxacum sect Ruderalia;4;early;herb
Thlaspi arvense;4;early;herb
Tragopodon pratensis;5;early;herb
Trifolium dubium;5;early;legume
Trifolium incarnatum;6;late;legume
Trifolium medium;6;late;legume
Trifolium pratense;6;late;legume
Trifolium repens;5;early;legume
Trisetum flavescens;5;early;graminoid
Trollius europaeus;5;early;herb
Veronica arvensis;3;early;herb
Veronica chamaedrys;4;early;herb
Veronica filiformis;3;early;herb
Veronica hederifolia;3;early;herb
Veronica persica;1;early;herb
Veronica polita;3;early;herb
Veronica serpyllifolia;5;early;herb
Vicia angustifolia;5;early;legume
Vicia cracca;5;early;legume
Vicia hirsuta;6;late;legume
Vicia sepium;5;early;legume
Vicia tetrasperma;6;late;legume
Viola arvense;5;early;herb