plotID;box;treatment;origin;recipient
SP 1-1-1;1;ctrl;SP;BT
FP 1-2-6;1;ctrl;FP;BT
GW 2-6-2;1;ctrl;GW;BT
EB 4-1-3;1;ctrl;EB;BT
BT 1-7-1;1;ctrl;BT;BT
FE 2-1-2;1;ctrl;FE;BT
GW 3-1-1;1;ctrl;GW;BT
SP 2-1-1;1;ctrl;SP;BT
FP 1-2-7;1;ctrl;FP;BT
FE 1-6-2;1;ctrl;FE;BT
EB 4-1-1;1;ctrl;EB;BT
BT 1-4-2;1;ctrl;BT;BT
FP 1-2-1;1;ctrl;FP;BT
GW 2-5-2;1;ctrl;GW;BT
SP 1-4-2;1;ctrl;SP;BT
BT 1-5-2;1;ctrl;BT;BT
FE 1-4-2;1;ctrl;FE;BT
EB 4-3-1;1;ctrl;EB;BT
SP 2-9-1;2;water;SP;BT
FE 3-6-3;2;water;FE;BT
EB 2-9-2;2;water;EB;BT
EB 1-9-3;2;water;EB;BT
BT 1-8-4;2;water;BT;BT
GW 1-4-1;2;water;GW;BT
GW 2-3-3;2;water;GW;BT
SP 2-7-1;2;water;SP;BT
FE 2-5-1;2;water;FE;BT
FE 3-4-2;2;water;FE;BT
EB 1-2-4;2;water;EB;BT
BT 1-1-2;2;water;BT;BT
BT 1-8-5;2;water;BT;BT
GW 3-4-1;2;water;GW;BT
SP 2-5-1;2;water;SP;BT
SP 2-8-1;3;seed;SP;BT
FE 2-3-2;3;seed;FE;BT
EB 2-8-4;3;seed;EB;BT
EB 2-4-2;3;seed;EB;BT
BT 1-7-2;3;seed;BT;BT
GW 3-3-3;3;seed;GW;BT
GW 1-8-2;3;seed;GW;BT
SP 2-3-1;3;seed;SP;BT
FE 1-4-1;3;seed;FE;BT
FE 1-2-1;3;seed;FE;BT
EB 1-2-2;3;seed;EB;BT
BT 1-6-5;3;seed;BT;BT
BT 1-5-1;3;seed;BT;BT
GW 2-7-1;3;seed;GW;BT
SP 1-7-2;3;seed;SP;BT
GW 2-9-3;4;water;GW;BT
SP 1-3-2;4;water;SP;BT
FE 3-4-1;4;water;FE;BT
FE 2-1-1;4;water;FE;BT
EB 2-6-2;4;water;EB;BT
BT 1-1-4;4;water;BT;BT
BT 1-3-5;4;water;BT;BT
GW 3-8-2;4;water;GW;BT
SP 2-5-2;4;water;SP;BT
SP 2-1-2;4;water;SP;BT
FE 2-1-3;4;water;FE;BT
EB 1-7-2;4;water;EB;BT
EB 2-1-3;4;water;EB;BT
BT 1-4-4;4;water;BT;BT
GW 3-6-2;4;water;GW;BT
GW 1-2-3;5;seed;GW;BT
SP 1-9-1;5;seed;SP;BT
FE 3-2-1;5;seed;FE;BT
FE 3-6-2;5;seed;FE;BT
EB 1-1-4;5;seed;EB;BT
BT 1-2-3;5;seed;BT;BT
BT 1-5-5;5;seed;BT;BT
GW 3-2-3;5;seed;GW;BT
SP 1-6-2;5;seed;SP;BT
SP 1-8-1;5;seed;SP;BT
FE 1-7-1;5;seed;FE;BT
EB 2-9-3;5;seed;EB;BT
EB 1-5-4;5;seed;EB;BT
BT 1-4-3;5;seed;BT;BT
GW 1-6-2;5;seed;GW;BT
GW 3-9-3;6;ctrl;GW;BT
SP 1-4-1;6;ctrl;SP;BT
FP 1-2-8;6;ctrl;FP;BT
FE 3-2-3;6;ctrl;FE;BT
EB 4-2-3;6;ctrl;EB;BT
BT 1-2-1;6;ctrl;BT;BT
FP 1-2-2;6;ctrl;FP;BT
GW 2-8-2;6;ctrl;GW;BT
SP 2-4-1;6;ctrl;SP;BT
BT 1-3-3;6;ctrl;BT;BT
FE 1-2-2;6;ctrl;FE;BT
EB 4-1-2;6;ctrl;EB;BT
SP 1-6-1;6;ctrl;SP;BT
FP 1-2-4;6;ctrl;FP;BT
GW 2-1-1;6;ctrl;GW;BT
EB 4-3-3;6;ctrl;EB;BT
BT 1-7-3;6;ctrl;BT;BT
FE 1-2-3;6;ctrl;FE;BT
BT 1-9-2;7;water;BT;BT
GW 1-7-1;7;water;GW;BT
SP 2-3-2;7;water;SP;BT
SP 2-7-2;7;water;SP;BT
FE 2-3-3;7;water;FE;BT
EB 2-2-1;7;water;EB;BT
EB 1-2-1;7;water;EB;BT
BT 1-3-1;7;water;BT;BT
GW 3-5-2;7;water;GW;BT
GW 2-2-3;7;water;GW;BT
SP 1-2-1;7;water;SP;BT
FE 3-4-3;7;water;FE;BT
FE 3-6-1;7;water;FE;BT
EB 1-9-2;7;water;EB;BT
BT 1-6-4;7;water;BT;BT
FP 1-2-9;8;ctrl;FP;BT
GW 1-9-3;8;ctrl;GW;BT
SP 2-9-2;8;ctrl;SP;BT
BT 1-9-3;8;ctrl;BT;BT
FE 1-6-3;8;ctrl;FE;BT
EB 4-2-2;8;ctrl;EB;BT
SP 1-5-1;8;ctrl;SP;BT
FP 1-2-5;8;ctrl;FP;BT
GW 1-1-1;8;ctrl;GW;BT
EB 4-4-3;8;ctrl;EB;BT
BT 1-1-3;8;ctrl;BT;BT
FE 1-4-3;8;ctrl;FE;BT
GW 1-5-2;8;ctrl;GW;BT
SP 1-2-2;8;ctrl;SP;BT
FP 1-2-3;8;ctrl;FP;BT
FE 2-5-2;8;ctrl;FE;BT
EB 4-2-1;8;ctrl;EB;BT
BT 1-2-5;8;ctrl;BT;BT
BT 1-9-4;9;seed;BT;BT
GW 1-3-3;9;seed;GW;BT
SP 2-2-2;9;seed;SP;BT
SP 1-8-2;9;seed;SP;BT
FE 2-5-3;9;seed;FE;BT
EB 2-9-1;9;seed;EB;BT
EB 1-4-4;9;seed;EB;BT
BT 1-6-2;9;seed;BT;BT
GW 3-7-1;9;seed;GW;BT
GW 2-4-1;9;seed;GW;BT
SP 2-6-2;9;seed;SP;BT
FE 3-2-2;9;seed;FE;BT
FE 2-3-1;9;seed;FE;BT
EB 2-7-1;9;seed;EB;BT
BT 1-8-1;9;seed;BT;BT